"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:561apWcivE2sstzUb8J7W0","Banana Boat (Day-O)","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z","Harry Belafonte","spotify:album:6bDO3SRBKew1imMdW6EnrJ","SING YOUR SONG: The Music","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z","Harry Belafonte","2011","https://i.scdn.co/image/ab67616d0000b2737c12213a193970fd1773a4cf","1","6","183853","https://p.scdn.co/mp3-preview/5fd071e4a3d8298ee7cb83f3e4251cb0c0c3c7ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:4hObp5bmIJ3PP3cKA9K9GY","Don't Worry Be Happy","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","spotify:album:4zhRkgoZKC2xCPPys1gK4b","Simple Pleasures","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","1988-01-01","https://i.scdn.co/image/ab67616d0000b273a88b9eddbf3650ea0529f2cc","1","1","294400","https://p.scdn.co/mp3-preview/8bf1bd8853703e670f9b189883c3d4d3f3752167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:25U7raB3ZSszayTYClh4hF","Somewhere Over The Rainbow_What A Wonderful World","spotify:artist:4ogvuDRerGhZfSf7TtzHlr","Israel Kamakawiwo'ole","spotify:album:0pquf1NcG9FdiypBPwICu9","Facing Future","spotify:artist:4ogvuDRerGhZfSf7TtzHlr","Israel Kamakawiwo'ole","1993-11-01","https://i.scdn.co/image/ab67616d0000b273d358679de4783983510aa57d","1","14","308026","https://p.scdn.co/mp3-preview/2330e66190571dd4bd48ee0eba2f9fa772ea9498?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:2g2GkH3vZHk4lWzBjgQ6nY","(What A) Wonderful World","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","spotify:album:3Seie4YIVLWtPw2hQrouNY","The Man Who Invented Soul","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","2000-09-26","https://i.scdn.co/image/ab67616d0000b273cdea00c6905f588e1f72ccad","1","21","125440","https://p.scdn.co/mp3-preview/8aaf03977a5caa7ab2995e71e07b735a77c9a8de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:29U7stRjqHU6rMiS8BfaI9","What A Wonderful World - Single Version","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:6mmv0gwumlFGWDGJXF4yEv","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1968-01-01","https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed","1","1","139226","https://p.scdn.co/mp3-preview/157c708484944848a9649fd52783c0481d9d2ef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:4bLllRNUlGXezP9ixtDqGG","Desiderata","spotify:artist:0nH8Oa5lL0hHMKQpOqujVq","Les Crane","spotify:album:1U4WtlW6jSrbyDGAXIU4IP","Trovadores Espirituales","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-09-22","https://i.scdn.co/image/ab67616d0000b27377398acd390181a2dba26093","1","3","274936","https://p.scdn.co/mp3-preview/8ba380261deeba1344998f4117b14623ecec88d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:1paoxTRX70lPcbYNZt648U","Mr. Monday","spotify:artist:2YF9R3YmOHqZ4yK29iKKgl","The Original Caste","spotify:album:6BoqG4oDOg1DwRvNneVKAh","One Tin Soldier / Mr. Monday","spotify:artist:2YF9R3YmOHqZ4yK29iKKgl","The Original Caste","2008-05-08","https://i.scdn.co/image/ab67616d0000b273ab5233985350201672658934","1","2","190786","https://p.scdn.co/mp3-preview/2d3687079c617c63ed3a7e9407e903758eaf1810?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:inathan007","2020-07-23T21:22:47Z"
"spotify:track:26KwdOu3ALLhOaIRFlG48G","One Tin Soldier - Theme from Billy Jack","spotify:artist:2YF9R3YmOHqZ4yK29iKKgl","The Original Caste","spotify:album:12P0IuXaMEyERJjggibikS","One Tin Soldier (Theme from Billy Jack) - Single","spotify:artist:2YF9R3YmOHqZ4yK29iKKgl","The Original Caste","2013-01-30","https://i.scdn.co/image/ab67616d0000b273feeb31ce07a9948239e9e0a7","1","1","218026","https://p.scdn.co/mp3-preview/5a09d176ffa1229d7b097f38e60e8b536b374604?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:1rwGdnrtWnPYBipRrjnzEm","O-o-h Child","spotify:artist:3Inrg8cs8oc4q8oPES4a6S","The Five Stairsteps","spotify:album:7H8uLkHFuEqAWpLKBwbGvg","Stairsteps (Bonus Track Version)","spotify:artist:3Inrg8cs8oc4q8oPES4a6S","The Five Stairsteps","2014","https://i.scdn.co/image/ab67616d0000b273da015dfc7bc4f3d2ad6a2192","1","5","197440","https://p.scdn.co/mp3-preview/aca34102f10772c004894d037f9c26c0d069abbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:inathan007","2020-07-25T08:21:09Z"
"spotify:track:1fQn0TtyvkS6PjdVOitG4p","Put A Little Love In Your Heart","spotify:artist:0iVed2Qu7dmL0pIYCj1Xw8","Jackie DeShannon","spotify:album:7kxfDfYncthSbWnXZ6NKFD","The Very Best Of Jackie DeShannon","spotify:artist:0iVed2Qu7dmL0pIYCj1Xw8","Jackie DeShannon","1996-01-01","https://i.scdn.co/image/ab67616d0000b273da78db0ba248a757d1736eba","1","1","156533","https://p.scdn.co/mp3-preview/02ada86cfe108781d28262b11a83e3948510c801?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:1jFhnVoJkcB4lf9tT0rSZS","Unchained Melody","spotify:artist:4b0WsB47XCa9F83BmwQ7WX","The Righteous Brothers","spotify:album:5CFmNamq1ceXn8RFJ9i7p6","The Very Best Of The Righteous Brothers - Unchained Melody","spotify:artist:4b0WsB47XCa9F83BmwQ7WX","The Righteous Brothers","1990","https://i.scdn.co/image/ab67616d0000b2731682e25596b8ecccb47644d1","1","2","216266","https://p.scdn.co/mp3-preview/b006b09b0b2cf80ff1a8395ac3d52ff3e9dcc370?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:5ZHOiRqKOzgFMfMAu8cwzp","(You're My) Soul And Inspiration","spotify:artist:4b0WsB47XCa9F83BmwQ7WX","The Righteous Brothers","spotify:album:5CFmNamq1ceXn8RFJ9i7p6","The Very Best Of The Righteous Brothers - Unchained Melody","spotify:artist:4b0WsB47XCa9F83BmwQ7WX","The Righteous Brothers","1990","https://i.scdn.co/image/ab67616d0000b2731682e25596b8ecccb47644d1","1","3","201253","https://p.scdn.co/mp3-preview/739b7002b5034bba1493052a5c9aaac42027ae22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:7jmHyHMEqm9MJWiMAneF05","Stand by Me","spotify:artist:3plJVWt88EqjvtuB4ZDRV3","Ben E. King","spotify:album:5QL7RNVpZIoIxElgdykaa8","Don't Play That Song","spotify:artist:3plJVWt88EqjvtuB4ZDRV3","Ben E. King","1962","https://i.scdn.co/image/ab67616d0000b273345fcfd262a066eb194d42b6","1","7","175493","https://p.scdn.co/mp3-preview/a2836da282e945651944f1cf86680caff41fff6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:inathan007","2020-07-23T22:24:27Z"
"spotify:track:252YuUdUaC5OojaBU0H1CP","Come A Little Bit Closer","spotify:artist:0DAqhikcMKLo2lPADVz2fs","Jay & The Americans","spotify:album:0LMJo3p9QqRjaap3qvlTY6","Come A Little Bit Closer: The Best Of Jay & The Americans","spotify:artist:0DAqhikcMKLo2lPADVz2fs","Jay & The Americans","1964","https://i.scdn.co/image/ab67616d0000b2733fb91f6d6c412ef519dd3dee","1","9","166666","https://p.scdn.co/mp3-preview/0c15713e97a78c7fe75326126ec1132f634ea963?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:0q21FNwES2bbtcduB6kjEU","Dancing in the Moonlight","spotify:artist:5FHwr1FymaS5kutIEK6e2y","King Harvest","spotify:album:2W5SVDEBlGqHYqt5sa9PnA","Dancing in the Moonlight","spotify:artist:5FHwr1FymaS5kutIEK6e2y","King Harvest","1973-01-01","https://i.scdn.co/image/ab67616d0000b273dcd829318f889df294d2bb7a","1","10","181133","https://p.scdn.co/mp3-preview/946e8fd229c36c44b597d33aa4c33ac0dd0d368a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:65jrjEhWfAvysKfnojk1i0","Under the Boardwalk","spotify:artist:1FqqOl9itIUpXr4jZPIVoT","The Drifters","spotify:album:7AgI5vniflcbh86Znea7yM","Under the Boardwalk","spotify:artist:1FqqOl9itIUpXr4jZPIVoT","The Drifters","1964-06-01","https://i.scdn.co/image/ab67616d0000b27357f74f8c3d23837417b6f0f6","1","2","161960","https://p.scdn.co/mp3-preview/8cf57563d7553159042a312443ae361880c57b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:3aSWQJcWnnqgwYbAgidvlV","I Can't Help Myself (Sugar Pie, Honey Bunch)","spotify:artist:7fIvjotigTGWqjIz6EP1i4","Four Tops","spotify:album:348K6QH725oW2W78lvSy1Y","The Definitive Collection","spotify:artist:7fIvjotigTGWqjIz6EP1i4","Four Tops","2008-01-01","https://i.scdn.co/image/ab67616d0000b27360a7627cc8790bd2d1de9a42","1","9","163680","https://p.scdn.co/mp3-preview/dda48edbc53c148928cf58769acbb9ba38b021a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:2gujyXPl0FYVvr554ZhvvU","Baby, Now That I Found You","spotify:artist:4GITZM5LCR2KcdlgEOrNLD","The Foundations","spotify:album:3j1kw5l2mEeKCUuXXwjhWp","The Foundations","spotify:artist:4GITZM5LCR2KcdlgEOrNLD","The Foundations","1968-01-01","https://i.scdn.co/image/ab67616d0000b273dc345fdd58bb12b44f721444","1","1","158533","https://p.scdn.co/mp3-preview/3853346a0e23aee7cd5ac6bbae6fc703a1860f12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:6sPOmDulFtLzfX25zICNrC","Build Me Up Buttercup - Mono","spotify:artist:4GITZM5LCR2KcdlgEOrNLD","The Foundations","spotify:album:3j1kw5l2mEeKCUuXXwjhWp","The Foundations","spotify:artist:4GITZM5LCR2KcdlgEOrNLD","The Foundations","1968-01-01","https://i.scdn.co/image/ab67616d0000b273dc345fdd58bb12b44f721444","1","7","177533","https://p.scdn.co/mp3-preview/a1286ea4146157ad1559eaefe6e8a0869e3963b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:05I2vZxtfmf0zkps9bE3on","My Girl","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","spotify:album:5IdbJSrVUOScGmNxCMjHUM","My Girl","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d880a1e44d114357e2bfa5b7","1","1","175933","https://p.scdn.co/mp3-preview/86c5668885a60486f0e63dfa7999ff7774b4b0a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:inathan007","2020-07-23T22:29:09Z"
"spotify:track:0JHS2Bm8BGhMDBVvoNY0cQ","Beauty Is Only Skin Deep","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","spotify:album:5IdbJSrVUOScGmNxCMjHUM","My Girl","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d880a1e44d114357e2bfa5b7","1","3","140133","https://p.scdn.co/mp3-preview/7d6b10c32c60921fcbcd16fdc12cec7c7e96663e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:7D97JnBT73FWUh9KmRvP9M","If You Wanna Be Happy","spotify:artist:7k4MYPtpz3fAViMuuLi9ry","Jimmy Soul","spotify:album:52RYT3SK1MzjGDOfcDupUA","Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""","spotify:artist:7k4MYPtpz3fAViMuuLi9ry","Jimmy Soul","2012-01-10","https://i.scdn.co/image/ab67616d0000b2731aec0458e2092221dacbbef9","1","5","143000","https://p.scdn.co/mp3-preview/bbf8dbf17546f27593b89697f771927b7a11a920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:3zBhihYUHBmGd2bcQIobrF","(Sittin' On) the Dock of the Bay","spotify:artist:60df5JBRRPcnSpsIMxxwQm","Otis Redding","spotify:album:03HMOcANauhLD0WNrMkmLU","The Dock of the Bay (Mono)","spotify:artist:60df5JBRRPcnSpsIMxxwQm","Otis Redding","1968","https://i.scdn.co/image/ab67616d0000b27313a5da9563c438059afa7ad4","1","1","163755","https://p.scdn.co/mp3-preview/99bfd8043cd20bc3dc4b7aa9461ac268954efdf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:7lL2lMWNtzOcf5HnEudNgn","Everyday People","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","spotify:album:4he7R24eqd1EbF9kegiAK8","R&B: From Doo-Wop To Hip-Hop","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1999-10-08","https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87","1","9","139506","https://p.scdn.co/mp3-preview/225c5044716130e0205b07d60751ee81c8003a52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:4f4RRYN3R7glPElFjeoUnC","The Night Chicago Died","spotify:artist:33W24YuaMUEk85MwRX6cRs","Paper Lace","spotify:album:4wcSa3LqH3JOQC7DTVIzpp","Billy Don't Be A Hero","spotify:artist:33W24YuaMUEk85MwRX6cRs","Paper Lace","2008-06-01","https://i.scdn.co/image/ab67616d0000b273f872b58343b6ddbf58255a82","1","2","203333","https://p.scdn.co/mp3-preview/3a18f41799bd33aa5f7775d4dcf53c2d9e1e2bd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:6fExMvR1PjfDzqaQSqSmn9","Put the Message In the Box","spotify:artist:0THUMJMWUd5L8os9K6O4FE","World Party","spotify:album:0NHOAAAuzEglpm88igZi1a","Goodbye Jumbo","spotify:artist:0THUMJMWUd5L8os9K6O4FE","World Party","1990-04-24","https://i.scdn.co/image/ab67616d0000b2733117b0f8df28524a24ac9a28","1","4","256466","https://p.scdn.co/mp3-preview/92d65a34aea6e002093d8984a35c8c96bbda98f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:7n0cOijx7XdTk1MKGY8mIa","Way Down Now","spotify:artist:0THUMJMWUd5L8os9K6O4FE","World Party","spotify:album:0NHOAAAuzEglpm88igZi1a","Goodbye Jumbo","spotify:artist:0THUMJMWUd5L8os9K6O4FE","World Party","1990-04-24","https://i.scdn.co/image/ab67616d0000b2733117b0f8df28524a24ac9a28","1","2","229440","https://p.scdn.co/mp3-preview/d7a4c9ba3f5a71fe774ea53aa67622918f9a2c32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:2hMfXpsaKQz3lHOm3t0jDS","An Old Fashioned Love Song","spotify:artist:3f626JSVauIhTQgatsFcs4","Paul Williams","spotify:album:4I0TMuPncUDYAJORFcPOzz","Just An Old Fashioned Love Song","spotify:artist:3f626JSVauIhTQgatsFcs4","Paul Williams","1971","https://i.scdn.co/image/ab67616d0000b2734d9d3c260964e8139acdeaec","1","6","191293","https://p.scdn.co/mp3-preview/55e71ce976a264df05b837bc27da9193d0b96e09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:3bygXv7MxNgL7zJFq7Cg9W","Crackerbox Palace - Remastered 2004","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","spotify:album:7y9Fefugnr5b8fHHt9eE7X","Thirty Three & 1/3","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","1976-11-19","https://i.scdn.co/image/ab67616d0000b273c09224785d15741ce02156d0","1","9","238213","https://p.scdn.co/mp3-preview/1656d2374c10da71be7b130af3a09409afe2f44c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:5yQFVCQkupKqTJecbXA7qT","Hit the Road Jack","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:4rpE45Ysdy6apdEYJUA52V","Zou bisou bisou","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-04-27","https://i.scdn.co/image/ab67616d0000b2731474cf53dbc78bd0c403e1c1","1","15","119986","","false","23","spotify:user:inathan007","2020-07-23T22:30:27Z"
"spotify:track:3AR9uXc8JbOVfe92kzmJTH","The Tracks Of My Tears","spotify:artist:6TKOZZDd5uV5KnyC5G4MUt","Smokey Robinson & The Miracles","spotify:album:3k6u76lSaKt4FrxSphXPRj","Going To A Go-Go","spotify:artist:6TKOZZDd5uV5KnyC5G4MUt","Smokey Robinson & The Miracles","1965-01-01","https://i.scdn.co/image/ab67616d0000b273487e114330a1b6169a3ee1bc","1","1","174360","","false","0","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:4Dq749x2QP6OXTURJ9GGY8","The Tears Of A Clown","spotify:artist:6TKOZZDd5uV5KnyC5G4MUt","Smokey Robinson & The Miracles","spotify:album:6vbD4D3SpN2JBjCoXdGE3i","Make It Happen","spotify:artist:6TKOZZDd5uV5KnyC5G4MUt","Smokey Robinson & The Miracles","1967-08-29","https://i.scdn.co/image/ab67616d0000b273855c2e10b46e09da14e8b3c8","1","12","181800","https://p.scdn.co/mp3-preview/39d220117c9e65f09cda2df24066d1154647f407?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:inathan007","2020-07-23T22:31:09Z"
"spotify:track:3XY0oIVf2roUFIwkzjBgwt","I Only Wanna Be with You","spotify:artist:3r9TXuXfOUxXjgYgAR0fP8","Bay City Rollers","spotify:album:3YrxreFcscK7Lkb8a6Nc7Y","Dedication","spotify:artist:3r9TXuXfOUxXjgYgAR0fP8","Bay City Rollers","1976","https://i.scdn.co/image/ab67616d0000b273b233340ebf97b095ad634003","1","11","216906","https://p.scdn.co/mp3-preview/ee8c3bf0f67e06634f9799efcceb5c882859dbac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:6iGU74CwXuT4XVepjc9Emf","God Only Knows - Remastered 1997 / Mono","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:6GphKx2QAPRoVGWE9D7ou8","Pet Sounds (Original Mono & Stereo Mix Versions)","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","1966-06-16","https://i.scdn.co/image/ab67616d0000b273bde8dfd1922129f3d9e3732f","1","8","173040","https://p.scdn.co/mp3-preview/9f506e766952b771dd69cae2d1a61aacf20ebaa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:1Jp0vQZhLa7YCOBdb5frOM","I Get Around (Stereo) - Remastered","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:6GnzWMUyNEETCq6eftD98v","All Summer Long (Mono & Stereo)","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","1964-07-13","https://i.scdn.co/image/ab67616d0000b2736f27648d5087e1b7aeb2abdb","1","13","134266","https://p.scdn.co/mp3-preview/a6a7e6c0e53b4553e70b8d14d97b9cd4c6069ed3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:inathan007","2020-07-23T22:32:41Z"
