"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0ZEhlT9v8CdOKu55zhYGv9","Don't Cry (Original)","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:4L5pz06MVlsWaTEjSQPN8h","Use Your Illusion I","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-17","https://i.scdn.co/image/ab67616d0000b273c5803d7a2712cc6beee72281","1","4","284800","","false","0","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:53:03Z"
"spotify:track:34Lo0oc0QDJ1wlepfnWHQI","Coma","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:4L5pz06MVlsWaTEjSQPN8h","Use Your Illusion I","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-17","https://i.scdn.co/image/ab67616d0000b273c5803d7a2712cc6beee72281","1","16","616466","","true","0","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:53:12Z"
"spotify:track:4LM3MtaBdn0bTZW1GqzRVd","Civil War","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5NL0MCTSbQtO13G62ofWAf","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b2733a188eee204abd8a9abdaf44","1","1","462093","","false","0","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:53:32Z"
"spotify:track:2JCWnsNbKGJpF0337l3Mrt","Yesterdays","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5NL0MCTSbQtO13G62ofWAf","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b2733a188eee204abd8a9abdaf44","1","3","196226","","false","0","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:53:36Z"
"spotify:track:00hY9G7oTlWd86U3FYzwoH","Estranged","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5NL0MCTSbQtO13G62ofWAf","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b2733a188eee204abd8a9abdaf44","1","11","563893","","false","0","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:53:52Z"
"spotify:track:1BDKqhEFRW5d9Y5CVXNUL1","You Could Be Mine","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5NL0MCTSbQtO13G62ofWAf","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b2733a188eee204abd8a9abdaf44","1","12","343640","","false","0","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:53:56Z"
"spotify:track:7D5n2kpYH2WSqIyEO9MeXf","Patience","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:1RCAG3LrDwYsNU5ZiUJlWi","G N' R Lies","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1988-11-29","https://i.scdn.co/image/ab67616d0000b273d2c9d673548c12ad1c32e38d","1","5","354400","https://p.scdn.co/mp3-preview/70d3a4f3f72c33c2a57763a611edc3b67eb2ff60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:54:11Z"
"spotify:track:267BsRG0aX8LfeHsvCOdFA","Used To Love Her","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:1RCAG3LrDwYsNU5ZiUJlWi","G N' R Lies","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1988-11-29","https://i.scdn.co/image/ab67616d0000b273d2c9d673548c12ad1c32e38d","1","6","191560","https://p.scdn.co/mp3-preview/41e350756c9b93ddaa1e1328696cb5d064ceedc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:54:16Z"
"spotify:track:4DnEyHNO8MdhFYFrDq73BV","Mr. Brownstone","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:3I9Z1nDCL4E0cP62flcbI5","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60","1","5","225706","https://p.scdn.co/mp3-preview/14bb79495bcebaef9ff363fa8c4da22b07eb1957?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:54:43Z"
"spotify:track:2dyfo7lqKI7NtSAhUZwnoJ","My Michelle","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:3I9Z1nDCL4E0cP62flcbI5","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60","1","7","218666","https://p.scdn.co/mp3-preview/e4a74ef72e69f43e590a4a4f8232886ee2a1f681?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:54:48Z"
"spotify:track:2vyae4DvSU2gs8OMOGwXF2","Rock or Bust","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6OwvO40ahugJE5PH4TjqTg","Rock or Bust","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2014-11-28","https://i.scdn.co/image/ab67616d0000b273f5ea32b7c7b4ee3a4583d5df","1","1","183053","https://p.scdn.co/mp3-preview/1361ee0b093b665c44ce48ff0640487d81facdfd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:56:10Z"
"spotify:track:3fpzBeEHvuXKOl7QeVe1iz","Play Ball","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6OwvO40ahugJE5PH4TjqTg","Rock or Bust","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2014-11-28","https://i.scdn.co/image/ab67616d0000b273f5ea32b7c7b4ee3a4583d5df","1","2","167133","https://p.scdn.co/mp3-preview/c159457f60ab90108e02d9af3b03d6281de6f117?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:56:36Z"
"spotify:track:5xGHeN58fFOcORW0pRZznn","Rock the Blues Away","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6OwvO40ahugJE5PH4TjqTg","Rock or Bust","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2014-11-28","https://i.scdn.co/image/ab67616d0000b273f5ea32b7c7b4ee3a4583d5df","1","3","204373","https://p.scdn.co/mp3-preview/bc8a605a6adcdf0be259eeb8d631581e52c5f691?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:57:15Z"
"spotify:track:2vNw57KPaYDzkyPxXYUORX","Nightrain","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:3I9Z1nDCL4E0cP62flcbI5","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60","1","3","266173","https://p.scdn.co/mp3-preview/88c97986d6b9fa91f2dcd5dc3bbaaaa7b6aa1384?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:58:32Z"
"spotify:track:4feXJ5IC3avXsVW9WNFSag","Rock N Roll Train","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","1","261506","https://p.scdn.co/mp3-preview/eefd2f76a89e1c20452338a9e6f25dcbd1e8c601?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:58:58Z"
